state,latitude,longitude,abbreviation
Alabama,32.739632300000004,-86.8434593,AL
Alaska,63.34619100000001,-152.8370679,AK
Arizona,34.2099643,-111.602401,AZ
Arkansas,34.8955256,-92.4446262,AR
California,37.148573,-119.5406515,CA
Colorado,38.9935752,-105.5077737,CO
Connecticut,41.5797842,-72.7466666,CT
Delaware,38.9935501,-75.4473739,DE
District of Columbia,38.9041485,-77.0170942,DC
Florida,28.4574302,-82.4091478,FL
Georgia,32.629384,-83.4232125,GA
Hawaii,19.809767,-155.5061027,HI
Idaho,44.3020948,-114.5956254,ID
Illinois,40.1028754,-89.1526108,IL
Indiana,39.9030256,-86.2839503,IN
Iowa,42.07002429999999,-93.4933473,IA
Kansas,38.4985464,-98.3834298,KS
Kentucky,37.53368070000001,-85.29298409999998,KY
Louisiana,30.8577705,-91.803273,LA
Maine,45.3906022,-68.65748690000001,ME
Maryland,38.9466584,-76.6744939,MD
Massachusetts,42.1565196,-71.4895915,MA
Michigan,44.8410835,-85.6593197,MI
Minnesota,46.3161343,-94.1994801,MN
Mississippi,32.686465500000004,-89.6561493,MS
Missouri,38.35075,-92.45678259999998,MO
Montana,47.0511771,-109.63481740000002,MT
Nebraska,41.5438105,-99.8123253,NE
Nevada,39.33109279999999,-116.6151469,NV
New Hampshire,43.6708595,-71.58112779999998,NH
New Jersey,40.1072744,-74.6652012,NJ
New Mexico,34.4391265,-106.1261511,NM
New York,42.9133974,-75.5962723,NY
North Carolina,35.53971,-79.1308636,NC
North Dakota,47.4569538,-100.4619304,ND
Ohio,40.4149297,-82.7119975,OH
Oklahoma,35.5894185,-97.4868683,OK
Oregon,43.9715225,-120.6226269,OR
Pennsylvania,40.9042486,-77.82806240000002,PA
Rhode Island,41.59783579999999,-71.5252895,RI
South Carolina,33.874176899999995,-80.8542699,SC
South Dakota,44.4467957,-100.2381762,SD
Tennessee,35.8585639,-86.3493573,TN
Texas,31.4347032,-99.2818238,TX
Utah,39.3349735,-111.6563633,UT
Vermont,44.0605475,-72.673354,VT
Virginia,37.52225120000001,-78.6681938,VA
Washington,47.4162296,-120.5996231,WA
West Virginia,38.6472854,-80.61832740000001,WV
Wisconsin,44.628484,-89.71192990000002,WI
Wyoming,42.9918024,-107.5419255,WY
